GO:0016802	trialkylsulfonium hydrolase activity	AAEL008341 AAEL005524
GO:0070085	glycosylation	AAEL008091 AAEL013071 AAEL006558 AAEL004228 AAEL011095 AAEL002183 AAEL008252 AAEL000654 AAEL011784 AAEL006452 AAEL010596 AAEL005671 AAEL008037 AAEL012972 AAEL012823 AAEL013827 AAEL011121 AAEL014772 AAEL001877 AAEL000383 AAEL001088 AAEL001121 AAEL001146 AAEL000444 AAEL015049 AAEL013274 AAEL004538 AAEL000639 AAEL000244 AAEL002804 AAEL006039 AAEL006234 AAEL002329 AAEL000646 AAEL001152 AAEL001151
GO:0070084	protein initiator methionine removal	AAEL013150 AAEL011548 AAEL003769 AAEL004738
GO:0090288	negative regulation of cellular response to growth factor stimulus	AAEL009641
GO:0040011	locomotion	AAEL011864
GO:0050832	defense response to fungus	AAEL000627
GO:0000835	ER ubiquitin ligase complex	AAEL004697
GO:0040012	regulation of locomotion	AAEL000264
GO:0040014	regulation of multicellular organism growth	AAEL012542
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors	AAEL003757
GO:0016639	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor	AAEL003757
GO:0016634	oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor	AAEL000735 AAEL008841 AAEL008574 AAEL000370
GO:0016635	oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor	AAEL006033
GO:0019693	ribose phosphate metabolic process	AAEL005931 AAEL002542 AAEL015624 AAEL009507 AAEL009389 AAEL014204 AAEL010505
GO:0019692	deoxyribose phosphate metabolic process	AAEL013305
GO:0070407	oxidation-dependent protein catabolic process	AAEL006474
GO:2000026	regulation of multicellular organismal development	AAEL012824
GO:0070403	NAD+ binding	AAEL002842 AAEL005816 AAEL006655 AAEL002841 AAEL008006 AAEL011473 AAEL004004
GO:0090385	phagosome-lysosome fusion	AAEL003416
GO:0019365	pyridine nucleotide salvage	AAEL014217
GO:0010821	regulation of mitochondrion organization	AAEL006474
GO:0023057	negative regulation of signaling	AAEL008054
GO:0019363	pyridine nucleotide biosynthetic process	AAEL005106
GO:0019362	pyridine nucleotide metabolic process	AAEL005106
GO:0019673	GDP-mannose metabolic process	AAEL014961
GO:0016114	terpenoid biosynthetic process	AAEL017302
GO:0032107	regulation of response to nutrient levels	AAEL012542
GO:0007160	cell-matrix adhesion	AAEL007226 AAEL000339 AAEL005432
GO:0007163	establishment or maintenance of cell polarity	AAEL001721 AAEL018269
GO:0007164	establishment of tissue polarity	AAEL006891
GO:0007165	signal transduction	AAEL003015 AAEL012004 AAEL010539 AAEL006539 AAEL008440 AAEL009037 AAEL002871 AAEL018248 AAEL014901 AAEL001142 AAEL003143 AAEL013333 AAEL013441 AAEL005344 AAEL007613 AAEL012236 AAEL012033 AAEL007619 AAEL007618 AAEL001041 AAEL017523 AAEL003883 AAEL006339 AAEL009085 AAEL012749 AAEL012627 AAEL004520 AAEL012747 AAEL002716 AAEL002089 AAEL010083 AAEL000509 AAEL013535 AAEL004193 AAEL014896 AAEL003306 AAEL014488 AAEL000671 AAEL003220 AAEL007858 AAEL011734 AAEL010070 AAEL005484 AAEL006191 AAEL000450 AAEL013704 AAEL801252 AAEL013429 AAEL009261 AAEL006110 AAEL018339 AAEL011299 AAEL008108 AAEL018700 AAEL009551 AAEL001932 AAEL003292 AAEL014931 AAEL011565 AAEL008194 AAEL004393 AAEL006571 AAEL014307 AAEL008695 AAEL007768 AAEL000728 AAEL018321 AAEL001832 AAEL001629 AAEL004362 AAEL000633 AAEL008371 AAEL009846 AAEL002583 AAEL015539 AAEL014335 AAEL010979 AAEL009630 AAEL007164 AAEL014031 AAEL007240 AAEL018120 AAEL006868 AAEL013656 AAEL018350 AAEL018218 AAEL003116 AAEL011948 AAEL011253 AAEL013473 AAEL012043 AAEL005847 AAEL001492 AAEL018264 AAEL013900 AAEL004000 AAEL002216 AAEL002563 AAEL013466 AAEL013997 AAEL013991 AAEL003869 AAEL000057 AAEL013858 AAEL013342 AAEL003507 AAEL000624
GO:0007166	cell surface receptor signaling pathway	AAEL008287 AAEL006778 AAEL018033 AAEL005894 AAEL006232 AAEL014519 AAEL009983 AAEL000246 AAEL013886 AAEL010043 AAEL010981 AAEL017167 AAEL011526 AAEL008292 AAEL009024 AAEL006957 AAEL010982 AAEL006490 AAEL010980
GO:0030291	protein serine/threonine kinase inhibitor activity	AAEL005948 AAEL013291 AAEL005580
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	AAEL010374 AAEL003969 AAEL007742 AAEL004319
GO:0010556	regulation of macromolecule biosynthetic process	AAEL017999 AAEL009773 AAEL012545 AAEL007474
GO:0044707	single-multicellular organism process	AAEL010723
GO:0016790	thiolester hydrolase activity	AAEL009462
GO:0016180	snRNA processing	AAEL010663 AAEL000033 AAEL006942 AAEL011147
GO:0044710	single-organism metabolic process	AAEL009664 AAEL012162
GO:0044711	single-organism biosynthetic process	AAEL002675 AAEL004701
GO:0007367	segment polarity determination	AAEL002887
GO:0007365	periodic partitioning	AAEL002887
GO:0047710	bis(5'-adenosyl)-triphosphatase activity	AAEL009486
GO:0098660	inorganic ion transmembrane transport	AAEL018125 AAEL018317 AAEL011625
GO:0052652	cyclic purine nucleotide metabolic process	AAEL001034
GO:0030295	protein kinase activator activity	AAEL004717
GO:0016742	hydroxymethyl-, formyl- and related transferase activity	AAEL010764
GO:0016743	carboxyl- or carbamoyltransferase activity	AAEL009475
GO:0016740	transferase activity	AAEL002227 AAEL011727 AAEL006048 AAEL000210 AAEL015636 AAEL011435 AAEL006280 AAEL011729 AAEL000706 AAEL002837 AAEL009017 AAEL801117_b AAEL001054 AAEL005925 AAEL005636 AAEL014381 AAEL004900 AAEL007951 AAEL010500 AAEL002237 AAEL010071 AAEL005270 AAEL013399 AAEL002228 AAEL003497 AAEL002287 AAEL002069 AAEL008061 AAEL008160 AAEL008945 AAEL002204 AAEL003084 AAEL007962
GO:0045666	positive regulation of neuron differentiation	AAEL000984
GO:0016746	transferase activity, transferring acyl groups	AAEL017492 AAEL012417 AAEL011511 AAEL001564 AAEL007536 AAEL014026 AAEL005458 AAEL011355 AAEL006321 AAEL009766 AAEL001448 AAEL012078 AAEL010471 AAEL005169 AAEL010399 AAEL006445 AAEL011901 AAEL000427
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups	AAEL007510 AAEL001466 AAEL000603 AAEL014328 AAEL013595 AAEL006706 AAEL002113 AAEL010697 AAEL005842 AAEL002296 AAEL015092 AAEL004824 AAEL008939 AAEL011516 AAEL011106 AAEL008955 AAEL011512 AAEL014802 AAEL011513 AAEL008878 AAEL007507 AAEL014803 AAEL010647 AAEL007287 AAEL008348 AAEL006634 AAEL007919 AAEL005543 AAEL006672 AAEL014801 AAEL015357 AAEL002687 AAEL014766 AAEL014765 AAEL012737 AAEL006335 AAEL008518 AAEL004811 AAEL013807 AAEL013971 AAEL007302 AAEL006912 AAEL011508 AAEL008948
GO:0019187	beta-1,4-mannosyltransferase activity	AAEL004688
GO:0016748	succinyltransferase activity	AAEL007787
GO:0016749	N-succinyltransferase activity	AAEL007787
GO:0032133	chromosome passenger complex	AAEL015375 AAEL006712
GO:0019900	kinase binding	AAEL010057
GO:0033500	carbohydrate homeostasis	AAEL009387
GO:0016160	amylase activity	AAEL001130 AAEL008456 AAEL007675 AAEL008451 AAEL008452 AAEL007673 AAEL013421 AAEL006719
GO:0072665	protein localization to vacuole	AAEL006142
GO:0051179	localization	AAEL008096 AAEL005217 AAEL801227 AAEL007332 AAEL009144 AAEL001706 AAEL010233 AAEL011184 AAEL017395 AAEL007327 AAEL015609 AAEL000770 AAEL013369 AAEL000983 AAEL007046 AAEL005420 AAEL005937 AAEL009772 AAEL014273 AAEL017508 AAEL013834 AAEL011136 AAEL012929 AAEL011457 AAEL013630 AAEL011195 AAEL011628 AAEL012248 AAEL018019 AAEL015170 AAEL010119 AAEL005528 AAEL007503 AAEL002723 AAEL000208 AAEL007185 AAEL016999 AAEL006295 AAEL001024 AAEL001023 AAEL005244 AAEL007586 AAEL012316 AAEL005249 AAEL008718 AAEL004936 AAEL018334 AAEL006564 AAEL011503 AAEL012085 AAEL013497 AAEL017458 AAEL006560 AAEL005491 AAEL014428 AAEL004394 AAEL008213 AAEL008211 AAEL011682 AAEL008409 AAEL010987 AAEL014029 AAEL009100 AAEL005991 AAEL005861 AAEL011755 AAEL007580 AAEL004141 AAEL002985 AAEL010714 AAEL001329 AAEL018040 AAEL004310 AAEL015484 AAEL011091 AAEL018697 AAEL006309 AAEL006262 AAEL006303 AAEL018267 AAEL001125 AAEL013215 AAEL010818 AAEL015041 AAEL013218 AAEL003908 AAEL000410 AAEL009223 AAEL008900 AAEL014699 AAEL010023 AAEL010027
GO:0019898	extrinsic component of membrane	AAEL004991 AAEL007915 AAEL007888 AAEL014907 AAEL006018
GO:0005829	cytosol	AAEL015584 AAEL007643 AAEL011283 AAEL015583 AAEL013252 AAEL801165 AAEL010360 AAEL001497 AAEL004050 AAEL008680 AAEL013386 AAEL002056 AAEL011134 AAEL004267 AAEL004260 AAEL007640 AAEL004607 AAEL018318 AAEL012731
GO:0019985	translesion synthesis	AAEL009851
GO:0016567	protein ubiquitination	AAEL002306 AAEL010911 AAEL005424 AAEL004875 AAEL009509 AAEL000276 AAEL008758 AAEL015485 AAEL007797 AAEL002844
GO:0016296	palmitoyl-[acyl-carrier-protein] hydrolase activity	AAEL001194
GO:0016297	acyl-[acyl-carrier-protein] hydrolase activity	AAEL001194
GO:0016560	protein import into peroxisome matrix, docking	AAEL010368 AAEL004417
GO:0071203	WASH complex	AAEL010455 AAEL011545 AAEL009048 AAEL013108 AAEL001775
GO:0016298	lipase activity	AAEL000258 AAEL005706
GO:0016568	chromatin organization	AAEL000263 AAEL011725 AAEL004686 AAEL011721 AAEL003650 AAEL010054 AAEL002772 AAEL018220 AAEL006532 AAEL000990
GO:0016569	chromatin modification	AAEL001339 AAEL003528 AAEL006172 AAEL003976 AAEL011480
GO:0045841	negative regulation of mitotic metaphase/anaphase transition	AAEL011596 AAEL014423 AAEL008316 AAEL018276
GO:0017169	CDP-alcohol phosphatidyltransferase activity	AAEL014947
GO:0006298	mismatch repair	AAEL005494 AAEL005858 AAEL013690 AAEL011780 AAEL014856 AAEL010033 AAEL001140
GO:0015858	nucleoside transport	AAEL004594
GO:0034706	sodium channel complex	AAEL013277 AAEL006019
GO:0034707	chloride channel complex	AAEL010941 AAEL011800
GO:0034704	calcium channel complex	AAEL004222 AAEL011625 AAEL011280 AAEL004201 AAEL018317 AAEL018125 AAEL013881
GO:0034705	potassium channel complex	AAEL009453 AAEL007104 AAEL012277 AAEL015542 AAEL000242 AAEL009619 AAEL011835 AAEL014162 AAEL018306 AAEL007146 AAEL007143 AAEL018234
GO:0034702	ion channel complex	AAEL010941 AAEL011800
GO:0034703	cation channel complex	AAEL004222 AAEL011625 AAEL011280 AAEL004201 AAEL018317 AAEL018125 AAEL013881
GO:0030289	protein phosphatase 4 complex	AAEL001129
GO:0005929	cilium	AAEL012063 AAEL013294 AAEL001106 AAEL005590 AAEL003320
GO:0046080	dUTP metabolic process	AAEL007323 AAEL012629
GO:0030286	dynein complex	AAEL008036 AAEL009881 AAEL006029 AAEL007225 AAEL007911 AAEL014313 AAEL007132 AAEL003155 AAEL018004 AAEL000307 AAEL007918 AAEL009969 AAEL011478 AAEL008855 AAEL000885
GO:0005924	cell-substrate adherens junction	AAEL006222 AAEL004666
GO:0005925	focal adhesion	AAEL006222 AAEL004666
GO:0046084	adenine biosynthetic process	AAEL005976
GO:0034708	methyltransferase complex	AAEL008124 AAEL003654
GO:0005921	gap junction	AAEL014227 AAEL006726 AAEL011248 AAEL008588 AAEL014846 AAEL014847
GO:0006567	threonine catabolic process	AAEL003564 AAEL012318
GO:0006566	threonine metabolic process	AAEL003564 AAEL012318
GO:0006564	L-serine biosynthetic process	AAEL001100 AAEL012578
GO:0006563	L-serine metabolic process	AAEL002510
GO:0006562	proline catabolic process	AAEL013431
GO:0006561	proline biosynthetic process	AAEL006834 AAEL014101 AAEL005422 AAEL015630 AAEL013831
GO:0006560	proline metabolic process	AAEL006834 AAEL014101 AAEL005422 AAEL015630 AAEL013831
GO:0097164	ammonium ion metabolic process	AAEL013811
GO:0051781	positive regulation of cell division	AAEL015375 AAEL006712
GO:0006569	tryptophan catabolic process	AAEL008879
GO:0006568	tryptophan metabolic process	AAEL008879
GO:0006360	transcription from RNA polymerase I promoter	AAEL011249
GO:0007188	adenylate cyclase-modulating G-protein coupled receptor signaling pathway	AAEL009037 AAEL008641 AAEL011168
GO:0006364	rRNA processing	AAEL000708 AAEL010333 AAEL000215 AAEL004482 AAEL013615 AAEL010248 AAEL007158 AAEL009308 AAEL001506 AAEL008706 AAEL000422 AAEL009579 AAEL004526 AAEL011282
GO:0006367	transcription initiation from RNA polymerase II promoter	AAEL002140 AAEL013205 AAEL002154 AAEL010019 AAEL007022 AAEL014850 AAEL006462 AAEL012991 AAEL012619 AAEL013998 AAEL005685 AAEL012202 AAEL003945 AAEL011462
GO:0006366	transcription from RNA polymerase II promoter	AAEL017521 AAEL001972 AAEL012220 AAEL007267 AAEL017363
GO:0006368	transcription elongation from RNA polymerase II promoter	AAEL003528 AAEL006021 AAEL006172 AAEL001339 AAEL003976 AAEL000903 AAEL006015 AAEL018357
GO:0043408	regulation of MAPK cascade	AAEL000562
GO:0007186	G-protein coupled receptor signaling pathway	AAEL017126 AAEL010676 AAEL008566 AAEL006685 AAEL009037 AAEL006076 AAEL007393 AAEL008630 AAEL013123 AAEL013124 AAEL013125 AAEL011320 AAEL010506 AAEL003026 AAEL014373 AAEL016993 AAEL016990 AAEL005409 AAEL010852 AAEL003989 AAEL009573 AAEL009139 AAEL006232 AAEL004732 AAEL011475
GO:0006914	autophagy	AAEL005985 AAEL002286 AAEL009648 AAEL010427 AAEL009814 AAEL007162 AAEL010516 AAEL007228 AAEL003799 AAEL000955 AAEL003777
GO:0016675	oxidoreductase activity, acting on a heme group of donors	AAEL018669 AAEL018662 AAEL011514 AAEL018664 AAEL006000 AAEL013751 AAEL000722 AAEL008697 AAEL009257 AAEL007490 AAEL013007 AAEL014944 AAEL013009 AAEL014688 AAEL011406 AAEL008887 AAEL007752 AAEL005170 AAEL009673 AAEL000929 AAEL003234 AAEL017410 AAEL002737 AAEL008880
GO:0035383	thioester metabolic process	AAEL003746
GO:1904029	regulation of cyclin-dependent protein kinase activity	AAEL010543 AAEL009572 AAEL001810
GO:0035384	thioester biosynthetic process	AAEL004297
GO:0020037	heme binding	AAEL013328 AAEL000376 AAEL006827 AAEL000338 AAEL006804 AAEL012770 AAEL010946 AAEL003399 AAEL008018 AAEL005695 AAEL015563 AAEL005696 AAEL006246 AAEL014678 AAEL002872 AAEL008017 AAEL015354 AAEL008023 AAEL006824 AAEL018075 AAEL001960 AAEL002071 AAEL015591 AAEL007830 AAEL003763 AAEL007808 AAEL003612 AAEL006989 AAEL003380 AAEL001288 AAEL008606 AAEL006984 AAEL001457 AAEL015361 AAEL015362 AAEL017215 AAEL005034 AAEL001320 AAEL015654 AAEL010322 AAEL015655 AAEL001807 AAEL002067 AAEL008846 AAEL004054 AAEL014413 AAEL002085 AAEL001292 AAEL017366 AAEL006992 AAEL014891 AAEL014890 AAEL014893 AAEL014892 AAEL000507 AAEL009018 AAEL014569 AAEL003890 AAEL018043 AAEL014680 AAEL009762 AAEL005737 AAEL012636 AAEL012481 AAEL000340 AAEL000342 AAEL004388 AAEL009699 AAEL008345 AAEL006058 AAEL001435 AAEL000320 AAEL014411 AAEL014829 AAEL017467 AAEL014412 AAEL007812 AAEL015663 AAEL004386 AAEL011769 AAEL011850 AAEL000325 AAEL018292 AAEL014019 AAEL009119 AAEL015475 AAEL009591 AAEL002005 AAEL012492 AAEL012491 AAEL004941 AAEL009117 AAEL012494 AAEL009133 AAEL000357 AAEL002633 AAEL015476 AAEL007807 AAEL004012 AAEL014935 AAEL007473 AAEL006044 AAEL002638 AAEL003933 AAEL012266 AAEL004390 AAEL013555 AAEL013554 AAEL013556 AAEL005416 AAEL002031 AAEL009745 AAEL018030 AAEL010273 AAEL018662 AAEL013026 AAEL006875 AAEL014684 AAEL012773 AAEL010017 AAEL005788 AAEL007815 AAEL014924 AAEL007816 AAEL010154 AAEL006810 AAEL006811 AAEL012762 AAEL003748 AAEL006814 AAEL006815 AAEL015000 AAEL007563 AAEL013407 AAEL014609 AAEL014604 AAEL014605 AAEL014606 AAEL014607 AAEL011871 AAEL014603 AAEL014208 AAEL005700 AAEL009138 AAEL006793 AAEL000428 AAEL009137 AAEL009130 AAEL009131 AAEL009132 AAEL017136 AAEL011761 AAEL018046 AAEL017297 AAEL008889 AAEL018045 AAEL012144 AAEL014830 AAEL004401 AAEL013798 AAEL012761 AAEL012772 AAEL009955 AAEL012765 AAEL010151 AAEL012766 AAEL012769 AAEL011941 AAEL006802 AAEL006805 AAEL018028 AAEL014613 AAEL014612 AAEL014611 AAEL014610 AAEL014617 AAEL014616 AAEL014615 AAEL014614 AAEL010158 AAEL014619 AAEL014618 AAEL015370 AAEL005006 AAEL014754 AAEL009123 AAEL009122 AAEL006784 AAEL009120 AAEL008638 AAEL009126 AAEL009125 AAEL009124 AAEL007010 AAEL009129 AAEL009128 AAEL015372 AAEL004278 AAEL001312 AAEL007798 AAEL011770 AAEL007795 AAEL011463 AAEL015641 AAEL012915 AAEL000496 AAEL018044 AAEL004105 AAEL004457 AAEL009121 AAEL002354 AAEL005683 AAEL005775 AAEL000326 AAEL006014 AAEL009127 AAEL014594 AAEL006257 AAEL006795 AAEL005478 AAEL004870 AAEL007024 AAEL005771 AAEL006798 AAEL005442 AAEL009656 AAEL002043 AAEL017539 AAEL002046 AAEL014608 AAEL013171 AAEL004888
GO:0050793	regulation of developmental process	AAEL010210
GO:0032116	SMC loading complex	AAEL011819
GO:0050790	regulation of catalytic activity	AAEL009637
GO:0050796	regulation of insulin secretion	AAEL001167
GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	AAEL001145 AAEL018174
GO:0050794	regulation of cellular process	AAEL003015 AAEL012004 AAEL010539 AAEL006539 AAEL008440 AAEL009037 AAEL002871 AAEL018248 AAEL014901 AAEL001142 AAEL003143 AAEL013333 AAEL013441 AAEL005344 AAEL007613 AAEL012236 AAEL012033 AAEL007619 AAEL007618 AAEL001041 AAEL017523 AAEL003883 AAEL006339 AAEL009085 AAEL012749 AAEL012627 AAEL004520 AAEL012747 AAEL002716 AAEL002089 AAEL010083 AAEL000509 AAEL013535 AAEL004193 AAEL014896 AAEL003306 AAEL014488 AAEL000671 AAEL003220 AAEL007858 AAEL011734 AAEL010070 AAEL005484 AAEL006191 AAEL000450 AAEL013704 AAEL801252 AAEL013429 AAEL009261 AAEL006110 AAEL018339 AAEL011299 AAEL008108 AAEL018700 AAEL009551 AAEL001932 AAEL003292 AAEL014931 AAEL011565 AAEL008194 AAEL004393 AAEL006571 AAEL014307 AAEL008695 AAEL007768 AAEL000728 AAEL018321 AAEL001832 AAEL001629 AAEL004362 AAEL000633 AAEL008371 AAEL009846 AAEL002583 AAEL015539 AAEL014335 AAEL010979 AAEL009630 AAEL007164 AAEL014031 AAEL007240 AAEL018120 AAEL006868 AAEL013656 AAEL018350 AAEL018218 AAEL003116 AAEL011948 AAEL011253 AAEL013473 AAEL012043 AAEL005847 AAEL001492 AAEL018264 AAEL013900 AAEL004000 AAEL002216 AAEL002563 AAEL013466 AAEL013997 AAEL013991 AAEL003869 AAEL000057 AAEL013858 AAEL013342 AAEL003507 AAEL000624
GO:0060070	canonical Wnt signaling pathway	AAEL018033 AAEL015190 AAEL009983 AAEL009986 AAEL008322 AAEL013886 AAEL013160
GO:0060072	large conductance calcium-activated potassium channel activity	AAEL003765 AAEL003759
GO:0035014	phosphatidylinositol 3-kinase regulator activity	AAEL013596
GO:0051540	metal cluster binding	AAEL010360 AAEL002148 AAEL007526 AAEL010204 AAEL012552 AAEL003581 AAEL000418 AAEL006400 AAEL006652 AAEL017154 AAEL014768 AAEL014199 AAEL004071
GO:0061077	chaperone-mediated protein folding	AAEL004448
GO:0022891	substrate-specific transmembrane transporter activity	AAEL008232 AAEL012287 AAEL012288 AAEL011411 AAEL003718 AAEL001257 AAEL012044 AAEL010868 AAEL012042 AAEL014207 AAEL006264 AAEL007139 AAEL007050 AAEL006281 AAEL006432 AAEL012655 AAEL003808 AAEL003809 AAEL003810 AAEL011878 AAEL010481 AAEL010485 AAEL006274 AAEL010348 AAEL012903 AAEL010479 AAEL010478
GO:0009113	purine nucleobase biosynthetic process	AAEL003581 AAEL010640
GO:0009224	CMP biosynthetic process	AAEL009099
GO:0015986	ATP synthesis coupled proton transport	AAEL018668 AAEL010823 AAEL003393 AAEL004423 AAEL002827 AAEL005610 AAEL018667 AAEL004060 AAEL008848 AAEL002504 AAEL006509 AAEL801217 AAEL012175 AAEL012740 AAEL009964 AAEL006256 AAEL002813
GO:0015980	energy derivation by oxidation of organic compounds	AAEL007651 AAEL006436
GO:0008199	ferric iron binding	AAEL010396 AAEL002948 AAEL010393 AAEL007383 AAEL007385 AAEL002158 AAEL000359 AAEL004335
GO:0046394	carboxylic acid biosynthetic process	AAEL004701
GO:0046395	carboxylic acid catabolic process	AAEL001396
GO:0046390	ribose phosphate biosynthetic process	AAEL001034
GO:0009058	biosynthetic process	AAEL012579 AAEL011564 AAEL006196 AAEL009872 AAEL009875 AAEL002228 AAEL000706 AAEL004884 AAEL001331 AAEL001194 AAEL013399 AAEL002399 AAEL004868 AAEL002237 AAEL013166 AAEL004435 AAEL011442 AAEL008963 AAEL011912 AAEL012318 AAEL005651 AAEL010610 AAEL010764 AAEL008160 AAEL008945 AAEL002204 AAEL002200
GO:0033865	nucleoside bisphosphate metabolic process	AAEL009311
GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	AAEL017319
GO:0006106	fumarate metabolic process	AAEL008167
GO:0006101	citrate metabolic process	AAEL004297
GO:0006102	isocitrate metabolic process	AAEL012614 AAEL000746
GO:0051170	nuclear import	AAEL011657 AAEL003882 AAEL012960 AAEL010900
GO:0035497	cAMP response element binding	AAEL003646
GO:0044423	virion part	AAEL009525 AAEL009870 AAEL009873 AAEL000997 AAEL000991 AAEL000120 AAEL005456 AAEL001259 AAEL009940 AAEL000976 AAEL000130 AAEL000114 AAEL002745 AAEL007529 AAEL002749 AAEL001003 AAEL007520 AAEL001267 AAEL002755 AAEL006218 AAEL000808 AAEL006217 AAEL004959 AAEL002517 AAEL012729 AAEL002535 AAEL003033
GO:1903311	regulation of mRNA metabolic process	AAEL012987
GO:0006108	malate metabolic process	AAEL001073 AAEL008166 AAEL005790 AAEL007707 AAEL001091
GO:0051171	regulation of nitrogen compound metabolic process	AAEL007329 AAEL006187
